,file_sizes
624,14340
625,6363017
626,10240
627,19968
628,44285986
629,15653
630,1667504
631,1554288
632,1820758
633,59904
634,181306
635,95940
636,41984
637,155846
638,167424
639,108032
640,28672
641,57141
642,153600
643,15404
644,62287
645,187460
646,1763986
647,409802
648,163955
649,17118
650,12800
651,24864133
652,23572
653,31076
654,12292
655,10905296
656,761154
657,1558826
658,11290788
659,1603866
660,2725052
661,743936
662,61777
663,2366407
664,3656072
665,2259560
666,810412
667,4347550
668,95517
669,60736
670,10824
671,12180
672,147267
673,32136
674,10396
675,18973
676,21333
677,27689
678,26305
679,11190
680,107464
681,13191
682,27256
683,40312
684,42510
685,30733
686,12292
687,33280
688,67064
689,509998
690,39675
691,35161
692,972976
693,114282260
694,2107523
695,176670
696,629253
697,5441425
698,221937
699,769446
700,416069
701,441083
702,448296
703,1747641
704,538795
705,1500567
706,674235
707,696606
708,7948539
709,911861
710,1790961
711,15724
712,12539
713,15360
714,411418
715,672541
716,1192702
717,151824
718,414165
719,682183
720,215415
721,18929
722,647490
723,1582304
724,1943787
725,63866
726,28017
727,6878760
728,21889485
729,4208743
730,87040
731,4911295
732,389812
733,6614374
734,4809728
735,198959
736,116451
737,389911
738,599064
739,7392132
740,26112
741,302641
742,872229
743,1078142
744,2143647
745,1215260
746,1151986
747,80271
748,21439
749,71757
750,51782
751,417792
752,23547
753,12720
754,25134
755,11422
756,12292
757,678496
758,40302
759,1674682
760,48975
761,3178915
762,296326
763,3491205
764,280382
765,3393001
766,275452
767,3459548
768,253303
769,3531119
770,262925
771,3471211
772,233467
773,3057848
774,219587
775,3610765
776,3854025
777,2058414
778,2256908
779,2085221
780,1871742
781,156176
782,132818
783,159921
784,153792
785,161000
786,157240
787,152479
788,8513590
789,14331958
790,14061622
791,11452470
792,37634102
793,17037366
794,18202678
795,31985718
796,18409526
797,36618294
798,10930230
799,7809078
800,44982054
801,12986422
802,37232694
803,75587638
804,22945846
805,16697398
806,22331446
807,20705334
808,45867062
809,40710198
810,21076022
811,15769654
812,29069366
813,42788918
814,26411062
815,34996278
816,42659894
817,14254134
818,8812598
819,17911862
820,431456
821,428178
822,436201
823,425628
824,428739
825,39719282
826,337932
827,157025
828,102261
829,12292
830,825965
831,12292
832,10637711
833,8047938
834,10784875
835,3364172
836,13780
837,13780
838,803446
839,4345978
840,60192
841,11458
842,145783
843,32092
844,10396
845,21107
846,22095
847,10026
848,107464
849,13157
850,27256
851,40312
852,42510
853,30545
854,30660
855,30733
856,30658
857,30543
858,30547
859,30663
860,30555
861,30550
862,30545
863,30552
864,30553
865,30543
866,30551
867,30548
868,16426
869,532148
870,24772571
871,532148
872,24772571
873,28052
874,38218
875,206239
876,105247
877,12931
878,61972
879,145314
880,16426
881,10988
882,21752
883,15386
884,17447
885,10465
886,59228
887,101155
888,36705
889,28049
890,19744
891,15245
892,10043
893,10072
894,49389
895,49720
896,12294
897,24796
898,23171
899,10030
900,10474
901,11220
902,19050
903,27726
904,25960
905,18107
906,12499
907,859428
908,66106
909,39423
910,13193
911,72599
912,222614
913,13025
914,14561
915,16941
916,10338
917,11008
918,67373
919,20288
920,151904
921,21922
922,15793
923,30674
924,45167
925,38635
