time,angle
5.333,10.020
5.347,10.020
5.363,9.844
5.376,9.844
5.389,9.844
5.402,9.844
5.416,9.668
5.430,9.492
5.443,9.492
5.457,9.316
5.470,8.789
5.483,7.207
5.498,6.152
5.511,6.152
5.524,5.977
5.538,5.098
5.551,4.570
5.565,4.570
5.579,4.395
5.592,4.395
5.605,4.395
5.619,4.219
5.633,4.043
5.646,3.867
5.660,3.516
5.673,2.812
5.687,-0.703
5.701,-0.352
5.716,-0.527
5.730,-0.527
5.745,-0.703
5.760,-0.879
5.774,-0.879
5.789,-1.055
5.803,-1.055
5.817,-1.406
5.833,-2.812
5.847,-6.152
5.861,-6.152
5.876,-6.328
5.891,-6.328
5.905,-6.504
5.920,-6.680
5.934,-6.680
5.948,-6.855
5.964,-7.031
5.978,-7.031
5.992,-7.207
6.007,-7.207
6.022,-7.207
6.036,-7.207
6.051,-7.207
6.065,-7.383
6.079,-7.383
6.095,-7.383
6.109,-7.383
6.123,-7.383
6.138,-7.383
6.153,-7.383
6.167,-7.383
6.182,-7.383
6.196,-7.383
6.210,-7.207
6.226,-7.207
6.240,-7.207
6.254,-7.207
6.269,-7.207
6.283,-7.031
6.298,-7.031
6.313,-6.855
6.327,-6.680
6.341,-6.504
6.357,-6.504
6.371,-6.328
6.386,-6.152
6.400,-5.801
6.414,-5.098
6.430,-4.922
6.444,-4.570
6.458,-2.109
6.473,-0.527
6.488,-0.527
6.502,-0.352
6.517,-0.352
6.531,-0.352
6.545,-0.176
6.561,-0.176
6.575,0.000
6.588,0.000
6.602,0.176
6.615,0.352
6.629,4.395
6.643,4.746
6.656,4.746
6.669,4.922
6.682,5.273
6.697,5.625
6.710,5.801
6.723,5.977
6.737,6.152
6.750,6.152
6.764,6.328
6.778,6.328
6.791,6.504
6.804,6.855
6.819,7.383
6.832,8.086
6.845,9.844
6.859,9.844
6.872,9.844
6.886,9.844
6.900,9.844
6.913,9.844
6.926,9.844
6.940,10.020
6.955,10.020
6.969,10.020
6.984,10.020
6.998,10.020
7.012,10.020
7.028,10.020
7.042,10.020
7.056,9.844
7.070,9.844
7.083,9.844
7.097,9.844
7.111,9.844
7.124,9.668
7.137,9.492
7.151,9.492
7.165,9.141
7.178,8.613
7.191,7.383
7.205,6.152
7.219,6.152
7.232,5.801
7.246,5.449
7.259,5.098
7.272,4.922
7.287,4.746
7.300,4.746
7.313,4.570
7.327,4.395
7.340,4.395
7.354,4.043
7.368,3.164
7.381,1.055
7.394,-0.527
7.409,-0.527
7.424,-0.527
7.438,-0.703
7.453,-0.703
7.467,-0.703
7.481,-0.879
7.497,-1.055
7.511,-1.582
7.525,-4.395
7.540,-5.098
7.555,-5.098
7.569,-5.273
7.584,-5.273
7.598,-5.625
7.612,-6.504
7.628,-6.855
7.642,-7.031
7.656,-7.031
7.671,-7.207
7.686,-7.207
7.700,-7.207
7.715,-7.207
7.729,-7.383
7.743,-7.383
7.759,-7.383
7.773,-7.383
7.787,-7.383
7.802,-7.383
7.817,-7.383
7.831,-7.383
7.846,-7.383
7.860,-7.383
7.874,-7.383
7.890,-7.383
7.904,-7.383
7.918,-7.383
7.933,-7.383
7.947,-7.383
7.962,-7.383
7.977,-7.207
7.991,-7.207
8.005,-7.207
8.021,-7.031
8.035,-6.855
8.050,-6.680
8.064,-6.504
8.078,-5.625
8.094,-5.273
8.108,-5.098
8.122,-4.922
8.137,-4.746
8.152,-4.219
8.166,-2.637
8.181,-1.406
8.195,-0.879
8.209,-0.527
8.225,-0.527
8.239,-0.352
8.253,-0.176
8.268,-0.176
8.283,0.000
8.296,0.000
8.310,0.176
8.323,1.934
8.336,4.395
8.351,4.746
8.364,4.746
8.377,4.922
8.391,5.098
8.404,5.449
8.418,5.801
8.431,5.977
8.445,6.152
8.458,6.328
8.471,6.504
8.486,6.680
8.499,6.855
8.512,7.559
8.526,9.316
8.539,9.668
8.553,9.668
8.567,9.668
8.580,9.668
8.593,9.668
8.607,9.844
8.621,9.844
8.634,9.844
8.648,9.844
8.661,9.844
8.674,9.844
8.689,9.844
8.702,9.844
8.715,9.844
8.728,9.844
8.742,9.844
8.756,9.844
8.769,9.844
8.783,9.844
8.796,9.668
8.809,9.668
8.824,9.668
8.837,9.668
8.850,9.492
8.864,9.316
8.877,9.141
8.891,8.613
8.905,7.207
8.918,6.328
8.931,6.152
8.945,5.977
8.959,5.449
8.972,4.746
8.985,4.746
8.999,4.570
9.012,4.570
9.026,4.395
9.040,4.395
9.053,4.219
9.066,3.867
9.080,3.340
9.094,1.582
9.107,-0.352
9.122,-0.527
9.136,-0.703
9.151,-0.703
9.166,-0.879
9.180,-0.879
9.194,-1.055
9.209,-1.758
9.224,-3.691
9.238,-4.043
9.253,-4.922
9.267,-5.098
9.282,-5.273
9.297,-5.273
