time,angle
5.402,27.422
5.417,27.422
5.431,27.422
5.445,27.598
5.461,27.598
5.475,27.598
5.489,27.773
5.504,27.773
5.518,27.949
5.533,28.125
5.548,28.301
5.562,28.477
5.576,28.652
5.592,28.652
5.606,28.828
5.620,28.828
5.635,29.004
5.649,29.004
5.665,29.180
5.679,29.355
5.693,29.883
5.708,31.816
5.723,31.816
5.737,31.992
5.752,31.992
5.766,31.992
5.780,31.992
5.796,31.992
5.810,32.168
5.824,32.168
5.839,32.168
5.854,32.344
5.868,32.344
5.883,32.520
5.897,32.520
5.911,32.695
5.927,32.695
5.941,32.871
5.955,33.047
5.970,33.223
5.984,33.398
5.999,33.398
6.014,33.574
6.028,33.750
6.042,33.750
6.058,33.926
6.072,34.102
6.086,34.277
6.101,34.277
6.115,34.453
6.130,34.629
6.145,34.629
6.159,34.805
6.173,34.805
6.189,34.805
6.203,34.805
6.217,34.980
6.232,34.980
6.246,34.980
6.262,34.980
6.276,35.156
6.290,35.156
6.305,35.156
6.320,35.332
6.334,35.332
6.349,35.332
6.363,35.332
6.377,35.508
6.393,35.508
6.407,35.508
6.421,35.684
6.436,35.684
6.450,35.684
6.465,35.859
6.480,35.859
6.494,35.859
6.508,36.035
6.524,36.035
6.538,36.035
6.552,36.035
6.567,36.211
6.581,36.211
6.596,36.211
6.611,36.211
6.625,36.211
6.639,36.211
6.655,36.387
6.669,36.387
6.683,36.387
6.698,36.387
6.712,36.387
6.727,36.562
6.742,36.562
6.756,36.562
6.770,36.738
6.786,36.738
6.800,36.914
6.814,36.914
6.829,37.090
6.843,37.266
6.858,37.266
6.873,37.441
6.887,37.617
6.902,37.617
6.916,37.793
6.931,37.793
6.946,37.969
6.960,38.145
6.974,38.496
6.990,40.605
7.004,40.781
7.018,40.781
7.033,40.781
7.047,40.781
7.062,40.781
7.077,40.781
7.091,40.957
7.105,40.957
7.121,40.957
7.135,40.957
7.149,40.957
7.164,40.957
7.178,40.957
7.193,40.957
7.208,40.957
7.222,40.957
7.236,40.957
7.252,40.957
7.266,40.957
7.280,40.957
7.295,41.133
7.309,41.133
7.324,41.133
7.339,41.133
7.353,41.133
7.367,41.133
7.382,41.133
7.397,41.309
7.411,41.309
7.426,41.309
7.440,41.309
7.455,41.309
7.470,41.309
7.484,41.309
7.498,41.309
7.513,41.309
7.528,41.484
7.543,41.484
7.557,41.484
7.571,41.484
7.587,41.484
7.601,41.660
7.615,41.660
7.630,41.836
7.644,41.836
7.659,42.012
7.674,42.539
7.688,44.121
7.702,44.121
7.718,44.121
7.732,44.121
7.746,44.121
7.761,44.121
7.775,44.121
7.790,44.121
7.805,44.121
7.819,44.121
7.833,44.121
7.848,44.121
7.863,44.121
7.877,44.121
7.892,44.297
7.906,44.297
7.921,44.297
7.936,44.297
7.950,44.297
7.964,44.297
7.979,44.297
7.994,44.297
8.008,44.473
8.023,44.473
8.037,44.473
8.052,44.473
8.067,44.473
8.081,44.473
