time,angle
0.000,0.000
0.001,0.000
0.002,0.000
0.003,0.000
0.004,0.000
0.005,0.000
0.014,0.000
0.028,0.000
0.041,0.000
0.054,0.000
0.069,0.000
0.082,0.000
0.095,0.000
0.109,0.000
0.122,0.000
0.136,0.000
0.150,0.000
0.163,0.000
0.176,0.000
0.189,0.000
0.204,0.000
0.217,0.000
0.230,0.000
0.244,0.000
0.257,0.000
0.271,0.000
0.285,0.000
0.298,0.000
0.311,0.000
0.325,0.000
0.339,0.000
0.352,0.000
0.366,0.000
0.379,0.000
0.392,0.000
0.407,0.000
0.420,0.000
0.433,0.000
0.447,0.000
0.460,0.000
0.474,0.000
0.487,0.000
0.501,0.000
0.514,0.000
0.527,0.000
0.542,0.000
0.555,0.000
0.568,0.000
0.582,0.000
0.595,0.000
0.609,-0.176
0.624,-0.176
0.638,-0.176
0.652,-0.176
0.668,-0.176
0.682,-0.176
0.696,-0.176
0.711,-0.176
0.725,-0.176
0.740,-0.176
0.755,-0.176
0.769,-0.176
0.783,-0.176
0.799,-0.176
0.813,-0.176
0.827,-0.176
0.842,-0.176
0.856,-0.176
0.871,-0.176
0.886,-0.176
0.900,-0.176
0.914,-0.176
0.930,-0.176
0.944,-0.176
0.959,-0.176
0.973,-0.176
0.987,-0.176
1.003,-0.176
1.017,-0.176
1.031,-0.176
1.046,-0.176
1.060,-0.176
1.075,-0.176
1.090,-0.176
1.104,-0.176
1.118,-0.176
1.134,-0.176
1.148,-0.176
1.162,-0.176
1.177,-0.176
1.191,-0.176
1.206,0.000
1.220,0.000
1.233,0.000
1.246,0.000
1.260,0.000
1.274,0.000
1.287,0.000
1.301,0.000
1.314,0.000
1.327,0.000
1.341,0.000
1.355,0.000
1.368,0.000
1.381,0.000
1.396,0.000
1.409,0.000
1.422,0.000
1.436,0.000
1.449,0.000
1.463,0.000
1.477,0.000
1.490,0.000
1.503,0.000
1.517,0.000
1.531,0.000
1.544,0.000
1.558,0.000
1.571,0.000
1.584,0.000
1.599,0.000
1.612,0.000
1.625,0.000
1.638,0.000
1.652,0.000
1.666,0.000
1.679,0.000
1.693,0.000
1.706,0.000
1.719,0.000
1.734,0.000
1.747,0.000
1.760,0.000
1.774,0.000
1.787,0.000
1.801,0.000
1.815,0.000
1.828,0.000
1.841,0.000
1.855,0.000
1.869,0.000
1.882,0.000
1.895,0.000
1.909,0.000
1.922,0.000
1.936,0.000
1.950,0.000
1.963,0.000
1.976,0.000
1.990,0.000
2.004,0.000
2.017,0.000
2.031,0.000
2.044,0.000
2.057,0.000
2.072,0.000
2.085,0.000
2.098,0.000
2.112,0.000
2.125,0.000
2.139,0.000
2.152,0.000
2.166,0.000
2.179,0.000
2.192,0.000
2.207,0.000
2.220,0.000
2.233,0.000
2.247,0.000
2.261,0.000
2.274,0.000
2.288,0.000
2.301,-0.176
2.315,-0.176
2.331,-0.176
2.345,-0.176
2.359,-0.176
2.374,-0.176
2.388,-0.176
2.403,-0.176
2.418,-0.176
2.432,-0.176
2.446,-0.176
2.462,-0.176
2.476,-0.176
2.490,-0.176
2.505,-0.176
2.519,-0.176
2.534,-0.176
2.549,-0.176
2.563,-0.176
2.577,-0.176
2.592,-0.176
2.607,-0.176
2.621,-0.176
2.636,-0.176
2.650,-0.176
2.666,-0.176
2.680,-0.176
2.694,-0.176
2.709,-0.176
2.723,-0.176
2.738,-0.176
2.753,-0.176
2.767,-0.176
2.781,-0.176
2.797,-0.176
2.811,-0.176
2.825,-0.176
2.840,-0.176
2.854,-0.176
2.869,-0.176
2.884,-0.176
2.898,0.000
2.911,0.000
2.925,0.000
2.939,0.000
2.952,0.000
2.966,0.000
2.979,0.000
2.993,0.000
3.007,0.000
3.020,0.000
3.033,0.000
3.046,0.000
3.061,0.000
3.074,0.000
3.087,0.000
3.101,0.000
3.114,0.000
3.128,0.000
3.142,0.000
3.155,0.000
3.168,0.000
3.182,0.000
3.196,0.000
3.209,0.000
3.223,0.000
3.236,0.000
3.249,0.000
3.264,0.000
3.277,0.000
3.290,0.000
3.303,0.000
3.317,0.000
3.331,0.000
3.344,0.000
3.358,0.000
3.371,0.000
3.384,0.000
3.399,0.000
3.412,0.000
3.425,0.000
3.439,0.000
3.452,0.000
3.466,0.000
3.480,0.000
3.493,0.000
3.506,0.000
3.520,0.000
3.534,0.000
3.547,0.000
3.560,0.000
3.574,0.000
3.587,0.000
3.601,0.000
3.615,0.000
3.628,0.000
3.641,0.000
3.655,0.000
3.669,0.000
3.682,0.000
3.696,0.000
3.709,0.000
3.722,0.000
3.737,0.000
3.750,0.000
3.763,0.000
3.777,0.000
3.790,0.000
3.804,0.000
3.818,0.000
3.831,0.000
3.844,0.000
3.858,0.000
3.872,0.000
3.885,0.000
3.898,0.000
3.912,0.000
3.926,0.000
3.939,0.000
3.953,0.000
3.966,0.000
3.979,0.000
3.994,0.000
4.007,-0.176
4.021,-0.176
4.036,-0.176
4.050,-0.176
4.065,-0.176
4.080,-0.176
4.094,-0.176
4.108,-0.176
4.123,-0.176
4.138,-0.176
4.152,-0.176
4.167,-0.176
4.181,-0.176
4.196,-0.176
